Image,F-Measure,Pseudo-F-Measure,PSNR,DRD,Recall,Pseudo-Recall,Precision,Pseudo-Precision
1,55.5699,63.3756,12.3085,10.4191,38.9872,47.2994,96.6997,96.0064
10,94.8685,96.8723,18.4154,1.6186,93.1234,97.9892,96.6802,95.7805
11,96.6921,98.4704,20.5338,1.6023,94.9781,98.8271,98.469,98.1163
12,86.2759,88.0173,15.6922,5.9314,91.7032,98.1762,81.4551,79.7637
13,69.2445,68.5443,12.2282,21.4352,95.0552,98.7803,54.4574,52.4804
14,88.0832,89.6104,17.1678,5.0305,93.512,99.0475,83.2502,81.8152
15,92.7303,94.2748,16.5213,2.7295,94.0618,98.694,91.436,90.2344
16,95.4526,97.4328,23.1162,1.6071,93.8553,98.4023,97.1052,96.4822
17,89.5165,93.524,19.8662,2.4883,84.4517,93.1692,95.2275,93.8816
18,83.7902,89.1095,14.9557,6.6851,84.1722,97.7086,83.4117,81.9015
19,90.5093,95.05,18.7153,2.977,86.5946,96.8452,94.7947,93.3201
2,82.9006,89.3778,15.184,6.0764,71.9678,82.7245,97.7501,97.1949
20,89.4107,93.454,16.0906,4.007,89.7395,99.3326,89.0844,88.2323
3,71.3561,79.8782,14.5389,8.1448,56.1907,67.8324,97.7333,97.1259
4,68.5448,76.781,15.3758,8.3851,52.9494,63.7339,97.1626,96.5449
5,75.9986,82.8186,18.1853,7.1476,62.9794,73.5707,95.8032,94.7258
6,93.5175,96.5047,15.4754,2.3837,91.964,99.1275,95.1244,94.0172
7,92.2946,95.3027,15.0358,2.9693,90.3387,97.5412,94.3372,93.1647
8,90.7849,96.6539,18.6334,2.8591,85.5612,97.463,96.6878,95.8581
9,89.6872,91.1875,16.7316,3.1717,86.3621,90.2006,93.2786,92.1963
