Image,F-Measure,Pseudo-F-Measure,PSNR,DRD,Recall,Pseudo-Recall,Precision,Pseudo-Precision
1,32.9962,37.8692,11.1955,13.5983,19.8347,23.4732,98.0743,97.9275
10,94.3451,96.7725,18.0496,1.8494,91.4238,96.7136,97.4591,96.8315
11,96.9806,98.7665,20.9419,1.4499,95.004,98.6944,99.0412,98.8386
12,86.1878,88.7668,15.7588,5.8035,89.639,96.9997,82.9925,81.8221
13,71.6541,71.6431,12.7949,18.6164,93.6681,98.3964,58.0185,56.3279
14,88.8394,91.299,17.587,4.4279,91.4387,97.9698,86.3838,85.4787
15,92.4659,94.9743,16.4687,2.7103,91.6036,97.3105,93.3446,92.7476
16,95.5508,97.6278,23.2699,1.5381,92.6877,97.0479,98.5963,98.2147
17,51.1755,60.0378,14.6427,9.437,34.5131,43.1476,98.9447,98.6578
18,83.8386,90.6401,15.1107,6.196,81.5119,96.583,86.3022,85.3862
19,85.9924,92.1907,17.289,4.5193,77.4151,88.8786,96.7071,95.7592
2,77.7858,85.592,14.2731,7.7049,64.1096,75.6204,98.8793,98.5928
20,89.82,93.9141,16.2817,3.7793,89.7395,99.3382,89.9008,89.0517
3,73.5147,82.7812,14.8381,7.397,58.4405,71.2281,99.0684,98.8077
4,66.6067,74.5755,15.2126,8.5995,50.322,60.1414,98.474,98.1263
5,72.6781,82.074,17.8223,7.7108,57.5205,70.4396,98.6826,98.3121
6,92.1451,96.9842,14.787,2.8405,87.6278,97.3902,97.1534,96.5815
7,92.8093,96.4428,15.364,2.6568,90.2588,98.3074,95.5081,94.6476
8,89.4086,96.5208,18.1133,3.2224,82.6433,96.3494,97.3803,96.6929
9,86.1187,87.6955,15.6573,4.2144,78.8975,82.0849,94.7949,94.1293
