Image,F-Measure,Pseudo-F-Measure,PSNR,DRD,Recall,Pseudo-Recall,Precision,Pseudo-Precision
1,95.7971,98.4445,23.7785,1.4067,93.633,98.9563,98.0635,97.9379
10,97.6813,98.7771,21.5955,1.0724,96.3029,98.6567,99.0998,98.8978
2,93.5491,98.1325,22.399,1.6023,88.5108,97.335,99.1956,98.9431
3,96.7229,99.0363,19.8633,1.1576,93.907,98.4288,99.7129,99.6513
4,45.0816,45.5572,11.7203,36.3629,84.7033,97.1522,30.7143,29.755
5,96.0021,98.6251,22.7792,1.4679,93.0383,98.2519,99.1609,99.0011
6,99.2196,99.6735,28.3039,0.30876,98.9134,99.8911,99.5277,99.4569
7,96.1456,97.687,25.5162,1.0592,94.4487,98.2409,97.9045,97.1394
8,84.4013,81.3588,13.9707,6.371,95.5002,97.4554,75.6136,69.8258
9,98.6526,99.0442,26.8617,0.51507,98.3258,99.2914,98.9815,98.7982
